"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E2E","0","Back to product page on card","2","0","Checkout","0"
"0","E2E","0","add product in card","1","0","Card page","0"
"0","E2E","0","Back to product page on card","1","0","Card page","0"
"0","E2E","0","Finish button","2","0","Checkout","0"
"0","E2E","0","Login in to SauceDemo","2","0","Positive Login","0"
"0","E2E","0","BackHome button","1","0","Checkout","0"
"0","E2E","0","Negative Checkout Input","3","0","Checkout","0"
"0","E2E","0","Sort product LowHigh","1","0","Product page","0"
"0","E2E","0","Sort product HighLow","1","0","Product page","0"
"0","E2E","0","add few product in card","1","0","Card page","0"
"0","E2E","0","Check add product on cart","4","0","Product page","0"
"0","E2E","0","Sort product Z-A","1","0","Product page","0"
"0","E2E","0","Check open product card with icon","2","0","Product page","0"
"0","E2E","0","Check open product card with name","2","0","Product page","0"
"0","E2E","0","Login in to SauceDemo with broke data","3","0","Negative Login","0"
"0","E2E","0","Making an order","2","0","Card page","0"
"0","E2E","0","remove product from card","2","0","Card page","0"
"0","E2E","0","Cancel button","2","0","Checkout","0"
"0","E2E","0","Check remove product on cart","1","0","Product page","0"
"0","E2E","0","Sort product A-Z","1","0","Product page","0"
