"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Успешный ввод при оформлении товара в Checkout: Your Information и переход к Overview","1068","Успешный ввод при оформлении товара в Checkout: Your Information и переход к Overview","SauceDemo (0)","Tue May 26 18:01:16 UTC 2026","passed","Tue May 26 18:01:17 UTC 2026","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","checkInputCheckout"
"Добавление товара в корзину со страницы Products","1463","Добавление товара в корзину со страницы Products","SauceDemo","Tue May 26 18:00:42 UTC 2026","passed","Tue May 26 18:00:43 UTC 2026","tests.CardPageTest","FireFox","tests.CardPageTest","checkOneItemInCart"
"Проверка кнопки Continue Shopping для возвращения из корзины к страницы Products","1724","Проверка кнопки Continue Shopping для возвращения из корзины к страницы Products","SauceDemo","Tue May 26 18:00:36 UTC 2026","passed","Tue May 26 18:00:38 UTC 2026","tests.CardPageTest","FireFox","tests.CardPageTest","checkContinueShopping"
"Завершение оформления заказа нажатием на кнопку Finish","1034","Завершение оформления заказа нажатием на кнопку Finish","SauceDemo (0)","Tue May 26 18:01:18 UTC 2026","passed","Tue May 26 18:01:19 UTC 2026","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","checkFinishButton"
"Авторизация в онлайн-магазине SouceDemo с валидными данными","1967","Авторизация в онлайн-магазине SouceDemo с валидными данными","SauceDemo","Tue May 26 18:00:11 UTC 2026","passed","Tue May 26 18:00:13 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","CheckLoginWithValid"
"Возвращение к странице Products из Checkout: Complete при нажатии BackHome","1221","Возвращение к странице Products из Checkout: Complete при нажатии BackHome","SauceDemo","Tue May 26 18:01:12 UTC 2026","passed","Tue May 26 18:01:13 UTC 2026","tests.CheckoutTest","FireFox","tests.CheckoutTest","checkBachHomeButton"
"Получение ошибки в Checkout: Your Information при оставлении поля 'Имя' пустым","1537","Получение ошибки в Checkout: Your Information при оставлении поля 'Имя' пустым","SauceDemo","Tue May 26 18:00:48 UTC 2026","passed","Tue May 26 18:00:50 UTC 2026","tests.CheckoutTest","FireFox","tests.CheckoutTest","checkInputWithoutName"
"Проверка корректной сортировки товаров на странице по взрастанию цены","967","Проверка корректной сортировки товаров на странице по взрастанию цены","SauceDemo","Tue May 26 18:00:15 UTC 2026","passed","Tue May 26 18:00:16 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkSortLowHigh"
"Получение ошибки в Checkout: Your Information при оставлении поля 'Имя' пустым","1442","Получение ошибки в Checkout: Your Information при оставлении поля 'Имя' пустым","SauceDemo","Tue May 26 18:00:59 UTC 2026","passed","Tue May 26 18:01:00 UTC 2026","tests.CheckoutTest","FireFox","tests.CheckoutTest","checkInputWithoutName"
"Проверка корректной сортировки товаров на странице по убыванию цены","986","Проверка корректной сортировки товаров на странице по убыванию цены","SauceDemo","Tue May 26 18:00:14 UTC 2026","passed","Tue May 26 18:00:15 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkSortHighLow"
